File,Centroid X,Centroid Y,Centroid Z
part_3.stl,-0.20249631255865097,-0.07839764654636383,0.9636416137218475
part_2.stl,-0.1832534819841385,-0.07824848592281342,0.9636416137218475
part_1.stl,-0.16586768627166748,-0.07794700190424919,0.9636416137218475
part_5.stl,-0.23699763417243958,-0.07866508513689041,0.9636416137218475
part_4.stl,-0.22037898004055023,-0.0785362645983696,0.9636416137218475
part_6.stl,-0.2524416223168373,-0.07878480106592178,0.9636416435241699
part_7.stl,-0.26679396629333496,-0.07889605313539505,0.9636416137218475
part_10.stl,-0.3040458858013153,-0.07918481156229973,0.9636416137218475
part_9.stl,-0.2925269305706024,-0.0790955200791359,0.9636416137218475
part_8.stl,-0.28013183176517487,-0.07899944111704826,0.9636416435241699
